Tinter code,Density(g/cm^3),,,,,,Wet paint pigment ratio (wt%) 
910,3.9,,,,,,21.40
940,3.85,,,,,,8.80
960,1.85,,,,,,1.55
980,1.8,,,,,,1.40
530,1.61,,,,,,3.53
550,1.6,,,,,,3.16
570,1.65,,,,,,2.51
580,1.65,,,,,,3.73
522,1.55,,,,,,1.91
482,1.52,,,,,,2.81
424,1.8,,,,,,3.42
632,2.1,,,,,,4.58
670,2.9,,,,,,4.15
110,1.66,,,,,,5.05
356,1.58,,,,,,8.32
290,4.5,,,,,,6.79
343,1.59,,,,,,4.47
331,1.5,,,,,,3.74
410,1.57,,,,,,4.52
322,1.67,,,,,,2.98
306,1.42,,,,,,7.91
371,1.37,,,,,,3.85
384,1.5,,,,,,4.91
318,5,,,,,,8.51
190,3.9,,,,,,9.59
198,4,,,,,,8.45
154,1.6,,,,,,6.13
135,6,,,,,,10.71
233,1.78,,,,,,4.59
717C,1.5,,,,,,4.56
726C,1.5,,,,,,4.55
744S,1.5,,,,,,4.56
755C,1.45,,,,,,4.54
772S,1.5,,,,,,4.56
783S,1.5,,,,,,4.54
718Y,1.5,,,,,,4.56
896,3.3,,,,,,4.81
891,3.1,,,,,,4.81
851,3.3,,,,,,4.81
865,3.1,,,,,,4.81
862,3.3,,,,,,4.81
895,3.1,,,,,,4.81
816,3.3,,,,,,4.81
832,3.3,,,,,,4.81
855,3.1,,,,,,4.81
845,3.1,,,,,,4.81
892,3.1,,,,,,4.81
898,4.2,,,,,,4.81
818,4.1,,,,,,4.81
856,3.1,,,,,,4.81
858,4.2,,,,,,4.81
839,4.2,,,,,,4.81
831,3.1,,,,,,4.81
821,3.6,,,,,,4.81
835,3.1,,,,,,4.81
826,3.1,,,,,,4.81
815,3.1,,,,,,4.81
836,3.1,,,,,,4.81
828,4.4,,,,,,4.81
838,4.2,,,,,,4.81
30,0.01,,,,,,15.25
