Tinter code,Density(g/cm^3)
910,3.9
940,3.85
960,1.85
980,1.8
530,1.61
550,1.6
570,1.65
580,1.65
522,1.55
482,1.52
424,1.8
632,2.1
670,2.9
110,1.66
356,1.58
290,4.5
343,1.59
331,1.5
410,1.57
322,1.67
306,1.42
371,1.37
384,1.5
318,5
190,3.9
198,4
154,1.6
135,6
233,1.78
717C,1.5
726C,1.5
744S,1.5
755C,1.45
772S,1.5
783S,1.5
718Y,1.5
896,3.3
891,3.1
851,3.3
865,3.1
862,3.3
895,3.1
816,3.3
832,3.3
855,3.1
845,3.1
892,3.1
898,4.2
818,4.1
856,3.1
858,4.2
839,4.2
831,3.1
821,3.6
835,3.1
826,3.1
815,3.1
836,3.1
828,4.4
838,4.2
30,0.01
